order,sender,receiver,message
11,2,3,"Het is goed dat de staatssecretaris de inspectie gaat vragen om erop toe te zien dat de regels bij Tata worden nageleefd. Meer specifiek wil ik vragen of de staatssecretaris dan ook wil nagaan of alle afspraken die met de vakbonden zijn gemaakt in de RI&amp;E, het document waarin is vastgelegd welke bescherming er moet zijn voor werknemers, stuk voor stuk worden nageleefd. Is de staatssecretaris bereid om dat ook te doen?"
12,3,2,"Wat betreft de RI&amp;E: er is een speciale module vanuit het meerjarenprogramma — daar spreken we ook met Tata Steel over — waarmee werkgevers ondersteund worden en waarbij ze zelf moeten inventariseren wat de risico's van gevaarlijke stoffen zijn en die moeten aanpakken. Als dat nog niet is gebeurd, zal ik dat ook bij Tata Steel onder de aandacht brengen."
13,2,3,"Dank. Is de staatssecretaris bereid om bijvoorbeeld de GGD, het RIVM of beide te vragen om onderzoek te doen naar de kwaliteit van de lucht en van de werkomgeving van de mensen die bij Tata werken? Is de staatssecretaris ook bereid om bij het pensioenfonds van de Hoogovens data op te vragen over het aantal nabestaandenuitkeringen en over de levensverwachting van de mensen die daarbij zijn aangesloten?"
14,3,2,"Alhoewel ik de vraag begrijpelijk vind, is het niet aan mij als staatssecretaris om dit te doen. Het RIVM toetst zelf; ik gaf zojuist ook aan dat er al heel veel onderzoeken in de omgeving gedaan worden. Dat doet het RIVM dus al. Tata Steel is zelf verantwoordelijk voor de gezondheid van de werknemers, niet het RIVM. Het is dus ook niet aan mij om dat aan het RIVM te vragen."
15,2,3,"Ik hoop dat het RIVM meekijkt. Ik heb een andere vraag aan de staatssecretaris. Er is nog heel veel asbest aanwezig op het terrein. Vindt deze staatssecretaris dat al dat asbest van het terrein moet verdwijnen, en zo ja, op welke termijn?"
16,3,2,"Dit is best een specifieke vraag, dus ik zou u eigenlijk een wedervraag willen stellen. Eigenlijk zou ik een toezegging vanuit mijn kant willen doen, namelijk dat we bij de maatwerkafspraken ook kijken naar het asbest, zoals u zojuist schetst. Het is ingewikkeld voor mij om daar een precieze datum op te plakken, maar ik kan me goed voorstellen dat we dit meenemen in de maatwerkafspraken."
17,2,3,"Tot slot. Vindt de staatssecretaris dat groen staal, ongeacht wat er gebeurt, daar alleen maar geproduceerd kan worden als dat op een manier kan die gezond is voor de mensen die daar werken en voor de omgeving? Anders loopt het draagvlak voor Tata namelijk groot gevaar. Vindt de staatssecretaris dat ook, net als de SP?"
18,3,2,"Ik begon mijn verhaal met het gegeven dat het belangrijk is dat we uiteindelijk voor elk bedrijf in Nederland naar nul doden op de werkvloer gaan. Dat geldt dus ook voor Tata Steel. Ik heb ook aangegeven dat het belangrijk is, juist vanwege de impact die Tata Steel ook in positieve zin heeft, dat we goed kijken naar de gevolgen voor de omwonenden en dat de negatieve effecten daarvan zo snel mogelijk verminderd en beperkt worden."
19,1,19,"Dank u wel. Tot zover de vragen aan de staatssecretaris. Er is nog een vraag van de heer Omtzigt. Het woord is aan hem. Er gaat meteen een sirene af, maar dat is de heer Aartsen."
20,4,3,"Het is nogal wat. Normaal gesproken zouden er 1.635 mensen overleden zijn. Er zijn 2.400 mensen overleden. Dat betekent dat er alleen bij Tata Steel 750 mensen extra overleden zijn. Dat zijn geen bedrijfsongevallen, maar het zijn mensen die langdurig ziek geworden zijn. Ze zitten dus niet in de bedrijfsongevallenstatistieken, op een enkeling na. Mijn vraag is als volgt. Als een regering bij 750 mensen oversterfte in één bedrijf niet ingrijpt, wanneer grijpt zij dan wel in? En hoe gaat deze regering ingrijpen bij dit bedrijf, zodat de werkomstandigheden verbeteren?"
21,3,4,"Ik snap deze vraag. Er is op basis van overlijdensaktes gekeken hoeveel mensen er van 1975 tot 2010 zijn overleden. Het is voor mij heel erg ingewikkeld om te toetsen in hoeverre er van 2010 tot nu bijvoorbeeld al stappen zijn gezet door Tata Steel die maken dat dat getal, wat ik ook ernstig vind namens het kabinet, al fors naar beneden is gegaan. Vandaar dat ik al eerder heb aangegeven dat we hier verder over in gesprek gaan met Tata Steel. Niet alleen door dit onderzoek, maar ook door eerdere berichtgeving over de uitstoot van Tata Steel ziet het kabinet dat we hiermee aan de slag moeten — niet alleen op basis van de berichtgeving die nu naar buiten komt."
22,5,3,"Ik schrok enorm van het bericht — en volgens mij wij allemaal. De kern van het verhaal is dat er op een ongezonde manier wordt geleefd in de omgeving, waardoor mensen beschadigd raken, en dat er op ongezonde manier wordt gewerkt. Een aantal jaren geleden heeft de Arbeidsinspectie ook al geconstateerd dat er niet onder normale omstandigheden werd gewerkt en dat er op een verkeerde manier met ongezonde stoffen werd omgegaan. Dat lijkt niet verbeterd te zijn. Het is zodanig zorgwekkend dat mensen die bijvoorbeeld niet in dienst zijn bij Tata Steel maar wel werken op die vloer niet weten wat er met hen aan de hand is. Hoe gaat de staatssecretaris die groep volgen die daar niet in dienst is? En hoe krijgen we grip op het feit dat dit soort dingen gebeuren in Nederland?"
23,3,5,"Ik heb al aangegeven dat er gelukkig door het RIVM en andere instituten onderzoek wordt gedaan naar de leefomgeving van de omwonenden. Dit specifieke bericht gaat natuurlijk over de mensen die in dienst zijn. Laat ik namens het kabinet heel duidelijk zijn. Tata Staal moet zich ook gewoon aan de regels houden die we met elkaar hebben afgesproken. De berichtgeving zoals die nu naar buiten komt, vind ik ook ernstig. Ik zal er ook in de maatwerkafspraken opnieuw op aandringen dat Tata Steel zich gewoon aan de regels houdt."
24,6,3,"Ik weet gewoon niet wat ik hier hoor. De staatssecretaris blijft de verantwoordelijkheid afschuiven naar andere instanties en hij wijst naar de maatwerkafspraken. Maar die maatwerkafspraken zijn er niet om aan de regels te gaan voldoen; dat moet je gewoon met handhaving regelen. De maatwerkafspraken zijn er om bovenwettelijke zaken op te leggen. Mijn vraag is als volgt. We weten hoe ernstig het is: een enorme oversterfte. Wist de staatssecretaris, wist de Arbeidsinspectie, wisten de omgevingsdiensten van deze oversterfte? En zo ja, waarom hebben ze dan niet gehandeld?"
25,3,6,"De conclusies die uit het onderzoek van EenVandaag komen — dat heb ik zojuist ook al aangegeven — hebben een behoorlijk lange tijdsspanne: van 1975 tot 2010. In de tussentijd, van 2010 tot nu, is er ook ontzettend veel gebeurd. Ik kan niet nu, op basis van het onderzoek dat zij hebben gedaan, concluderen dat het sterftecijfer anderhalf keer hoger ligt, bijvoorbeeld van 2010 tot nu. Dat kan ik gewoon niet doen. Wat ik wel kan doen ... Dat was ik al van plan, maar dit bericht maakt dat ik daar nog meer mijn best voor wil doen, omdat ik ook zie hoe ernstig zo'n bericht is. We moeten gewoon met Tata Steel om tafel: hoe kun je niet alleen aan de regels voldoen — u heeft helemaal gelijk dat die voor ieder bedrijf gelden — maar ook nog meer doen om ervoor te zorgen dat niet alleen voor de mensen die daar werken maar ook voor de omwonenden de kwaliteit van de leefomgeving uiteindelijk verbetert?"
26,6,3,"Volgens mij moeten we terug naar waar het hier om gaat, namelijk dat de staatssecretaris geen idee heeft wat Tata Steel met de werknemers doet en dat hij dat dus nog moet uitzoeken. Ik wil even terzijde laten dat hij nog allemaal gesprekken gaat voeren en koffie gaat drinken met Tata. Ik wil even focussen op de handhaving en de feiten weten. Eén onderdeel van mijn vraag was: gaat u kijken of u daar kan handhaven? Het tweede onderdeel slaat op het RIVM. Het RIVM doet ook opdrachten in opdracht van de regering. Dat hebben ze ook bij de omwonenden gedaan. Dat hebben ze niet zelfstandig bedacht. Daar hebben overheden opdracht toe gegeven. Bent u bereid, ook omdat u erkent dat u de feiten nog niet kent, om het RIVM opdracht te geven om te bevestigen in hoeverre er oversterfte is en te onderzoeken in welke mate dat te maken heeft met die kankerverwekkende stoffen van Tata?"
27,3,6,"Ik denk dat het goed is om ook even de feiten op een rijtje te hebben, want ik heb het gevoel dat u mij dat verwijt, terwijl het helemaal niet mijn verantwoordelijkheid is om in te grijpen. Het is uiteindelijk aan de inspectie om dat als onafhankelijk orgaan te doen. Wat ik namens het kabinet kan doen en ook zal doen, is nog extra maatwerkafspraken met Tata Steel maken. Tegelijkertijd, als dingen niet in orde zijn, dan is het uiteindelijk aan de Arbeidsinspectie om daarop te handhaven en niet aan mij. Dat geldt voor ieder bedrijf. Wat betreft het RIVM, er lopen al heel veel onderzoeken, ook in de omgeving van Tata Steel, en er hebben al onderzoeken plaatsgevonden. Ik wil daar best nog een keer naar kijken, maar dat is ook niet mijn terrein. Dat ligt uiteindelijk bij de staatssecretaris van IenW."
28,1,7,Ook 30 seconden voor de heer Grinwis.
29,7,3,"Tata Steel produceert een belangrijk product, staal, maar wel tegen een hele hoge prijs van mensenlevens, van gezondheidsschade in de omgeving, van milieuschade. Hoe staan de onderzoeksgegevens die vandaag naar buiten zijn gekomen, in internationaal perspectief? Hoe gaat het internationaal bij staalfabrieken in Europa en elders in de wereld? Wat hebben die voor impact op de gezondheid van werknemers? Kan de staatssecretaris daar wat over zeggen? En wat betekent dit voor de inzet van het kabinet voor de toekomst van Tata Steel?"
30,3,7,"Dat eerste doe ik uiteraard graag, maar wel schriftelijk, want ik denk dat ik u dan beter van dienst kan zijn dan als u mij nu vraagt antwoord te geven op de vraag hoe het gaat bij alle staal producerende bedrijven in Europa. En met het tweede zijn we als kabinet al bezig. De uitstoot van Tata Steel, die negatieve effecten heeft op de omgeving — daarnaast zijn er uiteraard positieve effecten: we zijn niet afhankelijk van andere landen en Tata Steel brengt werkgelegenheid met zich mee — willen we zo snel mogelijk naar beneden brengen. Die maatwerkafspraken zijn bedoeld om versneld tot een betere en schonere omgeving te komen. Daar zullen we als kabinet verdere stappen op zetten."
31,2,3,"Ik hoor de staatssecretaris twee interessante dingen zeggen. Eén. De staatssecretaris weet niet hoe het zit met de oversterfte na 2010. Twee. De staatssecretaris wil met het kabinet kijken of het RIVM een opdracht gegeven kan worden, aangespoord kan worden, om een onderzoek te gaan doen naar de situatie op de werkvloer. Ik wil de staatssecretaris vragen om de oversterftecijfers na 2010 en het onderzoek van het RIVM zo spoedig mogelijk met de Kamer te delen, en ik wil van de staatssecretaris weten wanneer we daar informatie over kunnen krijgen."
32,3,2,"Nu worden er twee dingen gezegd die ik niet heb gezegd. Het onderzoek van EenVandaag loopt tot 2010, dus op basis daarvan kan ik niets zeggen over 2010 tot nu. Dat is een. Het tweede is dat u mij eigenlijk de woorden in de mond legt dat het RIVM daar nu op de werkvloer een onderzoek gaat doen. Dat heb ik niet gezegd. Ik heb aangegeven dat ik met het RIVM in gesprek ga om te kijken wat ze eigenlijk allemaal aan onderzoeken hebben gedaan. Mocht het nodig zijn dat daar weer vervolgonderzoeken op komen, dan kan ik dat meenemen, maar dat is niet iets wat ik nu al heb toegezegd. Ik ga gewoon kijken wat er nodig is bij die maatwerkafspraak. Maar het staat als een paal boven water, niet dat het RIVM onderzoek moet doen, maar dat Tata Steel uiteindelijk als bedrijf aan de wet- en regelgeving moet voldoen en we met elkaar moeten zorgen dat Tata Steel zo snel mogelijk verder verduurzaamt, zodat er niet alleen voor de werknemers maar ook voor de omwonenden een schonere leefomgeving wordt gecreëerd."
33,1,3,"Prima. Tot zover dit onderwerp. Dank aan de staatssecretaris. De volgende bewindspersoon is nog niet in huis, dus schors ik even totdat dat het geval is. De vergadering wordt enkele ogenblikken geschorst."
34,1,9,"Een hartelijk woord van welkom aan de minister van Volksgezondheid, die zojuist is gearriveerd. Voor de vraag aan haar geef ik graag het woord aan mevrouw Tielen van de fractie van de VVD. Het woord is aan haar."
35,8,9,"Voorzitter. Onze gezondheidszorg is van oudsher een wereld waarin kundige mensen warm en met betrokkenheid bijdragen aan de gezondheid van anderen. Dat is mooi, zou je denken, maar het blijkt steeds meer een wereld zonder weerstand tegen criminelen. Boeven en fraudeurs maken misbruik van zieken en van onze samenleving. EenVandaag publiceerde gisteren de harde conclusies van maar liefst twee inspecties: de Arbeidsinspectie en de Inspectie Gezondheidszorg en Jeugd. Deze inspecties constateren dat criminele zorgbureaus voor zo'n 15 miljoen euro frauderen met zorggeld dat is bedoeld voor de zorg voor daklozen en ongedocumenteerden. Dat is 15% van de 90 miljoen die daarvoor is gereserveerd. En dat is niet het eerste bericht dat we ontvangen over zorgfraude. De politie toonde recent aan dat drugshandelaren, plofkrakers en geweldplegers — ik citeer — ""op grote schaal actief zijn in de zorg"". Het Openbaar Ministerie schat het totaalbedrag aan fraude in de zorg inmiddels op meer dan 10 miljard euro per jaar. Voorzitter. Is zorgfraude volgens de minister een groeiend fenomeen? Is het aantal fraudeurs en criminelen in de zorg toegenomen? Lekt er inderdaad steeds meer geld weg naar de zakken van criminelen of hebben we al jaren te maken met een crimineel circuit van deze omvang in de zorg? Weet de minister dat? Hoe verklaart zij de groei en is zij bereid om hier jaarlijks over te rapporteren?"
36,1,9,Het woord is aan de minister.
37,9,8,"Dank u wel, voorzitter. Dit is de derde keer in korte tijd dat ik met de Kamer spreek over zorg aan onverzekerden. Nu gaat het over het onderzoek van de inspectie en de Arbeidsinspectie over de risico's op misbruik en fraude bij zorg aan onverzekerden. Dat is een zeer kwetsbare groep in kwetsbare situaties. Het gaat bijvoorbeeld om slachtoffers van aanbieders die zorg verlenen op dubieuze locaties, zoals in zeer sterk vervuilde woningen. Er is sprake van ondermaatse zorg en zorgverwaarlozing. Er zijn spookfacturen aangetroffen voor niet-geleverde zorg. Het gaat om malafide zorgverleners. Dit heeft de inspectie aangetroffen. Mevrouw Tielen vraagt of het een groeiend probleem is, of er sprake is van een toename, of het al jaren speelt en of ik bereid ben om daarover een rapportage op te stellen. Het lastige aan fraude is dat we niet weten hoe groot het is. Het zijn altijd schattingen. Door de jaren heen zijn vele van dit soort schattingen hier in de Kamer naar voren gekomen. Het is mij door de jaren heen wel opgevallen dat er vaker sprake lijkt van echte criminele circuits en van het uitwisselen van goede tips over hoe je geld kunt pikken uit de zorg. Het is dan ook een continue bron van aandacht. We kunnen niet verslappen. Iedere keer als we nieuwe regels maken, vinden ze weer een nieuw geitenpaadje om mensen opnieuw zorg te ontnemen. Het is weerzinwekkend dat je dat doet bij deze groep mensen. Een aantal dingen gaan in januari van start, zoals het Informatie Knooppunt Zorgfraude, waar signalen worden verzameld, verrijkt en onderzocht. Ik noem ook het Waarschuwingsregister zorgfraude. We komen daarnaast in januari met nadere wetgeving over winstuitkeringen in de zorg. Er zijn nu vermoedens over misbruik van deze regeling. Het vermoeden is dat het ongeveer 14% betreft bij de regeling voor onverzekerbare vreemdelingen en 4% bij de SOV-regeling, waar we het twee weken geleden ook al over hadden. Ik kom met een nieuwe regeling. Dat heb ik de Kamer ook al toegezegd. Dat doe ik enerzijds omdat ik het belangrijk vind dat dak- en thuislozen en mensen die hier legaal werken maar niet legaal wonen, worden toegeleid naar een echte zorgverzekering. Daar zijn ze beter af en worden ze ook geen slechtere patiënten. Ik heb de Kamer toegezegd dat ik de contouren van deze nieuwe regeling voor het einde van het jaar naar de Kamer zal sturen. Dat ga ik doen. De brief met mijn idee van die contouren komt binnen enkele dagen naar de Kamer. Die brief gaat speciaal over deze regeling. Het passantentarief voor onverzekerden ligt bijvoorbeeld wat hoger dan gemiddeld. Mijn idee is om dat wat meer naar het gemiddelde te halen. Het bedrag dat ik daarmee overhoud wil ik inzetten om te zorgen dat deze kwetsbare mensen via bonafide aanbieders, aanbieders die we goed kennen en van wie we weten dat ze goede zorg leveren, worden geleid naar goede zorg en een zorgverzekering. Dat is het allerbelangrijkst."
38,8,9,"De vraag is of er te weinig regels of te weinig toezichthouders zijn. Mijn stelling is van niet. Er zijn genoeg regels en toezichthouders. Ik noemde net al dat er twee inspecties over dit onderwerp aan de bel trokken. Het punt is dat deze niet aan elkaar geknoopt worden. Ik heb tijdens de begrotingsbehandeling een zevenpuntenplan ingediend. Dat heeft de minister volgens mij een beetje weggewimpeld. Maar ik denk dat er veel meer connectie tussen al die regelingen en toezichthouders moet komen. De minister noemt zelf al het Informatie Knooppunt Zorgfraude, maar dat heeft helemaal geen macht. Dat kan heel veel signalen bij elkaar brengen, maar als je vervolgens niks met die signalen kan doen, dan heeft het helemaal geen zin. Mijn vraag was toen of we een soort van zorgfraudesheriff in het leven konden roepen om een van die instanties, een van die toezichthouders, doorzettingsmacht te geven, zodat die er ook mee aan de slag kan als er signalen zijn. Die kan dan verdachte fraudeurs opsporen en straffen en een beroepsverbod instellen, zodat niet telkens weer dezelfde mensen met andere bureautjes diefstal van zorggeld plegen. Die kunnen zorggeld dan ook weer terughalen, want nu lekt het weg naar criminele circuits, maar het hoort natuurlijk gewoon beschikbaar te zijn voor de zorg. Is de minister bereid om daar veel meer macht achter te zetten?"
39,9,8,"Mevrouw Tielen doet zichzelf tekort als ze zegt dat ik haar zevenpuntenplan niet serieus zou nemen of zou afwimpelen. Dat is absoluut niet het geval. Ik vind het een goed plan. U heeft goede voorstellen gedaan. U stelde alleen voor om de doorzettingsmacht ook bij het verzamelende Informatie Knooppunt Zorgfraude te voegen. Maar daar hebben wij al onze partijen voor, zoals de NZa en de gemeenten. Daarom vond ik dat een extra taak. Maar dat neemt niet weg dat ik uw punten goed vind. Als het gaat om fraudebestrijding zal ik alles moeten doen wat mogelijk is. Elk goed idee uit de Kamer vang ik gewoon op, betrek ik en werk ik uit."
40,8,9,Dan is de vraag natuurlijk op welke termijn we die uitwerkingen kunnen ontvangen.
41,9,8,Op elk moment.
42,8,9,"Mijn aanvullende vraag is dan of de minister ook bereid is om naar de Wet Bibob te kijken. De minister zei al dat gemeenten hier heel veel mee te maken hebben. De Wet Bibob is in het leven geroepen om in bepaalde sectoren criminelen erbuiten te houden. Is het mogelijk om te kijken of daar ook mogelijkheden voor zijn, nu we zien dat zoveel criminelen hun weg vinden de zorgsector?"
43,9,8,"De Wet Bibob valt natuurlijk niet onder mij, maar ik hoor wat mevrouw Tielen hier zegt. Ik zeg haar toe dat ik hier met mijn collega van JenV het gesprek over aanga."
44,8,9,Ik kijk uit naar die beide toezeggingen. Ik hoop dat de minister zich een beetje als een sheriff tegen deze frauderende cowboys in gaat zetten.
45,9,8,Helemaal goed. Anders stel ik u gewoon aan.
46,8,9,Aan de slag.
47,1,9,"We zien u binnenkort verschijnen met een sheriffster op. Daar zien we allemaal naar uit. Tot zover dit onderwerp, naar ik begrijp. Hartelijk dank aan de minister voor haar aanwezigheid. Als u een vraag heeft, moet u bij de interruptiemicrofoon gaan staan, meneer Claassen. Ik kan het niet ruiken. De heer Claassen heeft alsnog een vraag."
48,10,1,"Voorzitter, u bent een hazewindhond; u bent supersnel."
49,1,10,"Ja, wij zijn heel snel."
50,10,9,Ik had een vraag. Het is meer een toelichting op de Wibz en de Wet bevorderen samenwerking en rechtmatige zorg. Dat zijn middelen die ingezet gaan worden. Die wetten komen naar de Kamer. Hoe gaat dat dan precies werken om juist casussen zoals deze die nu in het nieuws was te voorkomen?
51,9,10,"De casus die nu aan het licht is gekomen kwam natuurlijk op basis van signalen uit het gewone reguliere circuit bij het CAK en bij de Arbeidsinspectie. Er werden gekke dingen gezien. De inspectie en de Arbeidsinspectie zijn verdere onderzoeken gaan doen, ook op basis van signalen van het CAK. Op deze wijze hebben zij verschillende malafide aanbieders aangetroffen. Er werd bijvoorbeeld zorg verleend in sterk vervuilde huizen. Er was sprake van vervuiling en spookcontracten. Op dat moment kun je daarop handelen. Wat betreft de Wibz: het gaat ook over winstmarges die niet netjes zijn, die buitenproportioneel zijn. Dat soort dingen is ook fraude. Dat is weer een andere vorm van fraude. Daarom kom ik met de Wibz, die ik eind januari naar de Kamer stuur."
52,10,9,"Dan had ik eigenlijk nog een vraag over het systeem zoals we het nu hebben ingericht, ook voor deze doelgroep. Zou de manier waarop zij aan hun zorg komen en waarop dat gefinancierd wordt niet op de schop moeten? Volgens mij heeft de minister daar iets over gezegd, maar is zij het met mij eens dat we het hele systeem eigenlijk anders zouden moeten inrichten?"
53,9,10,"Ja, dat heb ik ook bij de begrotingsbehandelingen gezegd, en volgens mij ook toen ik hier twee weken geleden te gast was bij het mondelinge vragenuur. De SOV-regeling loopt sowieso af in maart 2027. Er moet dus een nieuwe regeling komen. Die regeling geef ik op dit moment vorm. Ik heb zojuist al een tipje van de sluier opgelicht en gezegd dat ik voor het einde van dit jaar de contouren van die nieuwe regeling naar de Kamer stuur, zodat we die met elkaar kunnen bespreken."
54,1,9,Prima. Dank u wel. Hartelijk dank aan de minister.
55,1,11,Dan verwelkomen wij de staatssecretaris van Justitie en Veiligheid. Fijn u weer te zien. Ik geef graag het woord aan de heer Sneller van de fractie van D66 voor het stellen van een vraag. Het woord is aan de heer Sneller.
56,11,12,"Dank u wel, voorzitter. Als eerste zeg ik tegen de collega's: ik sta hier niet als rapporteur wetgevingskwaliteit. Voorzitter. Dit kabinet wil de grootste wijziging van het asielsysteem van de afgelopen twintig jaar doorvoeren. Zo'n grote stelselwijziging heeft grote gevolgen voor de rechtspraak, de advocatuur en uitvoeringsorganisaties. Daarom is het in het wetgevingsproces heel gebruikelijk om hen te consulteren en te vragen wat dit betekent, of zij het uit kunnen voeren, of dat dit alleen maar tot chaos leidt. Goede, uitvoerbare wetten zijn een fundament voor doeltreffend en rechtsstatelijk bestuur. De staatssecretaris schrijft zelf in de Staat van de wetgevingskwaliteit: de afgelopen jaren heeft de overheid op dit terrein steken laten vallen, zoals de toeslagenaffaire, de fraudeaanpak en het Groningendossier. Voorzitter. In het consultatieproces van de nieuwe asielplannen gaat een hoop mis. Binnen een week moet de uitvoerbaarheid getoetst worden en de consultatie is vertrouwelijk. De reacties van de betrokken organisaties zijn dan ook vernietigend. De Nederlandse orde van advocaten is geschrokken van de wijze waarop uw ministerie een groot aantal belangrijke wetsvoorstellen met vergaande consequenties met stoom en kokend water wil invoeren. De Raad voor de rechtspraak acht een adviestermijn van één week geen goede basis voor een serieuze en zorgvuldige advisering. De Afdeling bestuursrechtspraak is niet milder. Daarom vraag ik de staatssecretaris die verantwoordelijk is voor de kwaliteit van wetgeving van regeringszijde: wat is vanuit zijn verantwoordelijkheid zijn oordeel over dit proces?"
57,1,12,Het woord is aan de staatssecretaris.
